lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.656992,-79.379881,Downtown Yonge East,2,73,0.804,1.0,0.25,0.25,62.15,High,#ff0000,"{'crime_contribution': 32.15, 'poi_contribution': 20.0, 'street_contribution': 5.0, 'degree_contribution': 5.0}"
43.665632,-79.412394,Annex,2,39,0.355,0.78,0.1,0.25,36.8,Medium,#ffff00,"{'crime_contribution': 14.2, 'poi_contribution': 15.6, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.665539,-79.412347,Annex,2,41,0.355,0.82,0.1,0.25,37.6,Medium,#ffff00,"{'crime_contribution': 14.2, 'poi_contribution': 16.4, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.659577,-79.346728,South Riverdale,2,24,0.284,0.48,0.3,0.25,31.96,Medium,#ffff00,"{'crime_contribution': 11.36, 'poi_contribution': 9.6, 'street_contribution': 6.0, 'degree_contribution': 5.0}"
43.649188,-79.386938,Wellington Place,3,24,0.339,0.48,0.1,0.375,32.65,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 9.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.6487,-79.386731,Wellington Place,4,23,0.339,0.46,0.1,0.5,34.75,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 9.2, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.650803,-79.386776,Yonge-Bay Corridor,4,22,1.0,0.44,0.7,0.5,72.8,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 8.8, 'street_contribution': 14.0, 'degree_contribution': 10.0}"
43.650048,-79.386444,Yonge-Bay Corridor,4,24,1.0,0.48,0.7,0.5,73.6,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 9.6, 'street_contribution': 14.0, 'degree_contribution': 10.0}"
43.649967,-79.387244,Wellington Place,3,34,0.339,0.68,0.1,0.375,36.65,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 13.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.650564,-79.387498,Wellington Place,3,37,0.339,0.74,0.1,0.375,37.85,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 14.8, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
