source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
537,538,48.84268124425761,254.30614392032908,Gloucester Street,residential,46.14,31.74,Low
539,540,38.93631762667225,137.3248905118227,Maitland Street,residential,37.03,31.44,Low
540,541,40.300899538422314,219.7608819135083,Mutual Street,residential,31.44,34.64,Low
388,542,69.35316443524857,139.73976064500542,Mutual Street,residential,61.65,60.05,Medium
543,544,71.1498347754007,210.03120366327747,University Avenue,secondary,64.45,53.15,Medium
545,414,67.64609283251058,81.47230747418998,Spadina Avenue,secondary,57.55,67.55,Medium
546,547,47.81623098565383,156.7976529733599,John Street,tertiary,48.35,34.32,Low
373,548,81.01939585894407,69.56298163622522,Jordan Street,residential,72.0,79.5,Medium
549,550,46.536843905829244,74.75390082746539,Ed Mirvish Way,residential,43.05,43.55,Low
552,553,35.47920432705714,125.07386481868187,Labatt Avenue,residential,33.67,29.4,Low
11252,554,25.257156032578635,81.67691788345343,Mark Street,residential,17.7,29.0,Low
553,554,31.99055835548835,95.5670669687791,Defries Street,residential,29.4,29.0,Low
555,556,31.656814827179236,66.96376229117737,Mark Street,residential,26.87,32.47,Low
557,558,36.85303041028984,97.30625012028703,Oak Street,residential,25.27,41.9,Low
559,560,26.906268647540003,63.48887934940718,Paterson Place,service,27.7,22.9,Low
562,563,43.58912396462702,159.9021810704372,Sackville Street,residential,41.26,33.9,Low
564,565,35.040768307280956,85.35754397648935,Wascana Avenue,residential,30.5,34.07,Low
565,4898,41.19884747956069,186.09032617131692,Wascana Avenue,residential,34.07,35.4,Low
511,566,72.50671927229088,348.71129598755346,Berkeley Street,residential,57.46,50.06,Medium
567,566,63.18110789742972,298.41980882510745,Berkeley Street,residential,47.26,50.06,Medium
509,568,61.18744702978899,348.929608240498,Ontario Street,residential,50.66,40.06,Medium
569,570,53.54399144251671,273.0383129461891,Ontario Street,residential,44.06,40.06,Medium
572,508,57.431045438588825,349.4136616209779,Seaton Street,residential,47.06,38.06,Medium
573,574,58.02244968890263,202.78709968703652,George Street,residential,45.22,51.26,Medium
